year,rank,title,worldwide_gross_usd,boxofficemojo_release_group_url,annual_ranking_source_url,imdb_id,wikidata_url,wikidata_label,wikidata_instance_of,wikidata_genres,wikidata_countries,wikidata_production_companies,wikidata_original_languages,wikidata_qid,wikidata_join_property,wikidata_query_service_url,wikidata_retrieved,wikidata_license
2016,1,Captain America: Civil War,1153296293,https://www.boxofficemojo.com/releasegroup/gr2136297989/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3498820,http://www.wikidata.org/entity/Q18407657,Captain America: Civil War,film,superhero film,United States,Marvel Studios,English,Q18407657,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,2,Rogue One: A Star Wars Story,1056057273,https://www.boxofficemojo.com/releasegroup/gr384520709/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3748528,http://www.wikidata.org/entity/Q19590955,Rogue One: A Star Wars Story,film,fantasy film | action film | war film | space opera | science fiction film,United States,Lucasfilm,English,Q19590955,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,3,Finding Dory,1028570889,https://www.boxofficemojo.com/releasegroup/gr1869238789/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2277860,http://www.wikidata.org/entity/Q9321426,Finding Dory,animated film,comedy film | adventure film | comedy drama | family film | flashback film,United States,Pixar | Walt Disney Pictures,English,Q9321426,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,4,Zootopia,1023784195,https://www.boxofficemojo.com/releasegroup/gr1680691717/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2948356,http://www.wikidata.org/entity/Q15270647,Zootopia,animated film,comedy film | adventure film | family film | action comedy film | buddy cop film | detective film,United States,Walt Disney Pictures | Q1047410,English,Q15270647,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,5,The Jungle Book,966550600,https://www.boxofficemojo.com/releasegroup/gr1103385093/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3040964,http://www.wikidata.org/entity/Q16857406,The Jungle Book,film,drama film | fantasy film | action film | adventure film | live action,United States,Walt Disney Pictures | Shepperton Studios | Disney Character Voices International | Fairview Entertainment | SDI Media Iberia,English,Q16857406,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,6,The Secret Life of Pets,875697467,https://www.boxofficemojo.com/releasegroup/gr4228141573/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2709768,http://www.wikidata.org/entity/Q18844656,The Secret Life of Pets,film | animated film,comedy film | adventure film | family film,United States,Illumination,English,Q18844656,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,7,Batman v Superman: Dawn of Justice,874360194,https://www.boxofficemojo.com/releasegroup/gr4182135301/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt2975590,http://www.wikidata.org/entity/Q14772351,Batman v Superman: Dawn of Justice,film | cut,superhero film | crossover fiction,United States,The Stone Quarry | DC Entertainment | RatPac-Dune Entertainment,English,Q14772351,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,8,Fantastic Beasts and Where to Find Them,816037575,https://www.boxofficemojo.com/releasegroup/gr3670495749/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt3183660,http://www.wikidata.org/entity/Q18199330,Fantastic Beasts and Where to Find Them,film,drama film | fantasy film | adventure film | children's film,United States | United Kingdom,Warner Bros. Entertainment | Heyday Films | Q65557474,English,Q18199330,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,9,Deadpool,782612155,https://www.boxofficemojo.com/releasegroup/gr2532200965/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt1431045,http://www.wikidata.org/entity/Q19347291,Deadpool,film,action film | erotic film | superhero film | black comedy film,United States,Marvel Entertainment | The Donners' Company | TSG Entertainment | Genre Films,English,Q19347291,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
2016,10,Suicide Squad,749200054,https://www.boxofficemojo.com/releasegroup/gr457593349/,https://www.boxofficemojo.com/year/world/2016/?sort=rank&sortDir=asc,tt1386697,http://www.wikidata.org/entity/Q18604504,Suicide Squad,film,fantasy film | action film | adventure film | science fiction film | prison film | superhero film | vigilante film,United States,RatPac-Dune Entertainment | DC Studios,English,Q18604504,P345 (IMDb ID),https://query.wikidata.org/sparql,2026-07-23,CC0 1.0
